turnid	ROUGE1-R	MRR	Exact match	F1	ROUGEL-F1
36_6	0.818182	1.000000	0.000000	0.210526	0.149254
36_7	0.285714	0.000000	0.000000	0.046512	0.156863
36_8	0.857143	0.333333	0.000000	0.135593	0.194444
36_9	0.625000	0.000000	0.000000	0.181818	0.222222
36_10	1.000000	0.500000	0.000000	0.257143	0.268293
36_11	1.000000	1.000000	0.000000	0.323529	0.275000
37_2	1.000000		0.000000	0.181818	0.200000
37_3	1.000000		0.000000	0.676056	0.641975
37_4	0.800000		0.000000	0.187500	0.112676
37_5	0.777778		0.000000	0.000000	0.085714
37_6	1.000000	0.000000	0.000000	0.178571	0.126984
37_7	1.000000		0.000000	0.214286	0.190476
37_8	1.000000	0.000000	0.000000	0.095238	0.125000
37_9	1.000000		0.000000	0.133333	0.122449
37_10	1.000000		0.000000	0.105263	0.093750
37_11	0.769231		0.000000	0.151899	0.095238
37_12	1.000000		0.000000	0.000000	0.000000
38_2	1.000000		0.000000	0.352941	0.256410
38_3	1.000000	0.000000	0.000000	0.181818	0.117647
38_4	1.000000	0.250000	0.000000	0.103448	0.151515
38_5	1.000000		0.000000	0.263158	0.291667
38_6	1.000000	0.333333	0.000000	0.150000	0.127660
38_7	1.000000	0.500000	0.000000	0.342857	0.243902
38_8	1.000000	0.333333	0.000000	0.193548	0.270270
39_2	1.000000		0.000000	0.081633	0.072727
39_3	1.000000	0.000000	0.000000	0.160000	0.142857
39_4	0.888889	0.000000	0.000000	0.244898	0.192308
39_5	0.857143		0.000000	0.347826	0.243243
39_6	1.000000		0.000000	0.153846	0.131148
39_7	0.714286		0.000000	0.065574	0.090909
39_8	0.636364	0.000000	0.000000	0.113208	0.111111
39_9	0.833333	0.000000	0.000000	0.133333	0.115385
40_2	0.833333	0.000000	0.000000	0.114286	0.108108
40_3	1.000000		0.000000	0.156863	0.072727
40_4	0.900000		0.000000	0.300000	0.227273
40_5	1.000000				
40_6	1.000000		0.000000	0.000000	0.111111
40_7	1.000000		0.000000	0.125000	0.117647
40_8	1.000000	0.166667	0.000000	0.315789	0.227273
40_9	1.000000	0.000000	0.000000	0.100000	0.105263
40_10	0.777778	0.500000	0.000000	0.266667	0.257143
41_2	0.736842		0.000000	0.147059	0.090909
41_3	1.000000		0.000000	0.083333	0.078431
41_4	1.000000		0.000000	0.179104	0.140845
41_5	1.000000		0.000000	0.237288	0.190476
41_6	0.857143	0.000000	0.000000	0.482759	0.411765
41_7	1.000000		0.000000	0.000000	0.058824
41_8	0.909091		0.000000	0.120000	0.115385
41_9	0.857143	1.000000	0.000000	0.090909	0.095238
42_2	1.000000		0.000000	0.064516	0.133333
42_3	0.909091		0.000000	0.000000	0.000000
42_4	0.900000	0.500000	0.000000	0.257143	0.120482
42_5	0.875000		0.000000	0.000000	0.000000
42_6	0.818182	0.000000	0.000000	0.122449	0.140351
42_7	0.777778	0.000000	0.000000	0.240000	0.230769
42_8	1.000000		0.000000	0.250000	0.243902
43_2	0.727273	0.000000	0.000000	0.476190	0.476190
43_3	0.705882	0.100000	0.000000	0.363636	0.358974
43_4	0.750000		0.000000	0.186047	0.217822
43_5	0.700000	1.000000	0.000000	0.920000	0.931034
43_6	1.000000		0.000000	0.717949	0.744186
43_7	0.750000	1.000000	0.000000	0.771429	0.753247
43_8	0.933333		0.000000	0.102564	0.091954
44_2	0.727273		0.000000	0.163265	0.142857
44_3	0.727273		0.000000	0.117647	0.163934
44_4	1.000000	0.000000	0.000000	0.225806	0.119403
44_5	0.727273		0.000000	0.203390	0.121212
44_6	0.500000		0.000000	0.037736	0.037736
44_7	0.500000				
44_8	0.555556		0.000000	0.157895	0.150000
45_2	0.833333	0.000000	0.000000	0.095238	0.083333
45_3	1.000000		0.000000	0.194444	0.179104
45_4	1.000000	1.000000	0.000000	0.622222	0.640000
45_5	0.923077		0.000000	0.000000	0.000000
45_6	0.937500		0.000000	0.117647	0.082192
45_7	0.857143	0.125000	0.000000	0.500000	0.416667
45_8	1.000000	1.000000	0.000000	0.253968	0.191781
46_2	1.000000	0.250000	0.000000	0.277778	0.150000
46_3	0.615385		0.000000	0.065574	0.119403
46_4	0.600000		0.000000	0.190476	0.166667
46_5	1.000000		0.000000	0.240000	0.205128
46_6	1.000000	0.000000	0.000000	0.169492	0.123077
46_7	0.625000	0.125000	0.000000	0.227273	0.208333
46_8	0.400000		0.000000	0.186047	0.156863
46_9	0.857143		0.000000	0.370370	0.187500
46_10	1.000000		0.000000	0.097561	0.088889
47_2	0.833333		0.000000	0.551724	0.472222
47_3	1.000000		0.000000	0.000000	0.029851
47_4	1.000000		0.000000	0.150000	0.090909
47_5	1.000000	1.000000	0.000000	0.754717	0.764706
47_6	1.000000	1.000000	0.000000	0.878788	0.878049
47_7	1.000000	0.500000	0.000000	0.640000	0.627907
48_2	0.857143	0.250000	0.000000	0.137931	0.179104
48_3	0.875000	0.000000	0.000000	0.000000	0.000000
48_4	1.000000		0.000000	0.085106	0.172414
48_5	0.750000		0.000000	0.146341	0.139535
48_6	0.800000		0.000000	0.148148	0.169492
48_7	0.888889	0.000000	0.000000	0.078431	0.129032
48_8	1.000000	0.200000	0.000000	0.263158	0.256410
48_9	1.000000		0.000000	0.000000	0.000000
49_2	1.000000		0.000000	0.121212	0.106667
49_3	1.000000	1.000000	0.000000	0.818182	0.800000
49_4	1.000000		0.000000	0.238095	0.208333
49_5	0.875000		0.000000	0.000000	0.060606
49_6	1.000000	0.125000	0.000000	0.292683	0.222222
49_7	1.000000	0.000000	0.000000	0.218750	0.135135
49_8	1.000000	0.111111	0.000000	0.214286	0.258065
49_9	1.000000	0.000000	0.000000	0.181818	0.190476
49_10	0.714286	0.000000	0.000000	0.120000	0.137931
50_2	0.857143	0.000000	0.000000	0.142857	0.090909
50_3	0.875000	0.000000	0.000000	0.205128	0.100000
50_4	0.833333		0.000000	0.000000	0.000000
50_5	1.000000	0.000000	0.000000	0.208955	0.189189
50_6	0.800000		0.000000	0.000000	0.000000
50_7	1.000000		0.000000	0.031250	0.056338
50_8	0.750000		0.000000	0.120000	0.107143
50_9	0.800000	0.000000	0.000000	0.075472	0.109091
50_10	0.750000	0.000000	0.000000	0.200000	0.176471
51_2	1.000000		0.000000	0.344828	0.410256
51_3	1.000000		0.000000	0.434783	0.392857
51_4	1.000000	0.000000	0.000000	0.363636	0.262295
51_5	1.000000		0.000000	0.125000	0.142857
51_6	1.000000	1.000000	0.000000	0.769231	0.761905
51_7	1.000000	0.000000	0.000000	0.785714	0.545455
51_8	0.888889		0.000000	0.259259	0.203390
